"notebook","target_table","source_column","target_column","method","cell_number","evidence"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","amount","amount","compare_cols_identity","7","compare_cols list"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","expense_head","expense_head","compare_cols_identity","7","compare_cols list"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","level_4_alt_cde","level_4_alt_cde","compare_cols_identity","7","compare_cols list"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","level_4_ou","level_4_ou","compare_cols_identity","7","compare_cols list"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","level_4_oupdt","level_4_oupdt","compare_cols_identity","7","compare_cols list"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","schedule_id","schedule_id","compare_cols_identity","7","compare_cols list"
"nb_dpc_expense_tot_ora_to_fin","finance.fin_dpc_expense_tot","year_month","year_month","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","amount","amount","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","expense_head","expense_head","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","level_4_alt_cde","level_4_alt_cde","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","level_4_ou","level_4_ou","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","level_4_oupdt","level_4_oupdt","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","schedule_id","schedule_id","compare_cols_identity","7","compare_cols list"
"nb_dpc_schedule_fact_ora_to_fin","finance.fin_dpc_schedule_fact","year_month","year_month","compare_cols_identity","7","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","adj_ex_head","adj_ex_head","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","country_ou","country_ou","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","country_oupdt","country_oupdt","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","exp_tot","exp_tot","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","expense_head","expense_head","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","level_4_ou","level_4_ou","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","level_4_oupdt","level_4_oupdt","compare_cols_identity","9","compare_cols list"
"nb_expense_total_fact_ora_to_fin","finance.fin_expense_total_fact","year_month","year_month","compare_cols_identity","9","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","country_ou","country_ou","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","country_oupdt","country_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","item_id","item_id","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","item_value","item_value","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","level_4_ou","level_4_ou","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","level_4_oupdt","level_4_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","level_5_ou","level_5_ou","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","level_5_oupdt","level_5_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","nda_type","nda_type","compare_cols_identity","7","compare_cols list"
"nb_remu_at_stp_actuals_fact_ora_to_fin","finance.fin_remu_at_stp_actuals_fact","year_month","year_month","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","area_team_ou","area_team_ou","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","area_team_oupdt","area_team_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","country_ou","country_ou","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","country_oupdt","country_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","item_id","item_id","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","level_4_ou","level_4_ou","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","level_4_oupdt","level_4_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","level_5_ou","level_5_ou","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","level_5_oupdt","level_5_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","count_value","number_of_fees","rename_map","4","rename_map dictionary"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","number_of_fees","number_of_fees","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","recharge_record","recharge_record_yes_no","rename_map","4","rename_map dictionary"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","recharge_record_yes_no","recharge_record_yes_no","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","region_ou","region_ou","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","region_oupdt","region_oupdt","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","amount_value","remuneration","rename_map","4","rename_map dictionary"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","remuneration","remuneration","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","amount_value_fytd","remuneration_year_to_date","rename_map","4","rename_map dictionary"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","remuneration_year_to_date","remuneration_year_to_date","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","percentage_value","share_paid_percent","rename_map","4","rename_map dictionary"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","share_paid_percent","share_paid_percent","compare_cols_identity","7","compare_cols list"
"nb_remuneration_fact_ora_to_fin","finance.fin_remuneration_fact","year_month","year_month","compare_cols_identity","7","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","descr","descr","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","expense_head","expense_head","compare_cols_identity","6","compare_cols list"
