"notebook","mapping_pattern","source_root","target_root","source_table","target_table"
"nb_dpc_expense_tot_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_dpc_expense_tot"
"nb_dpc_schedule_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_dpc_schedule_fact"
"nb_expense_total_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_expense_total_fact"
"nb_fareshare_calc_perc_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_fareshare_calc_perc_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_dpc_expense_tot","fin_dpc_expense_tot"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_dpc_schedule_fact","fin_dpc_schedule_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_expense_total_fact","fin_expense_total_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_fareshare_calc_perc_fact","fin_fareshare_calc_perc_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_int_expense_tot","fin_int_expense_tot"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_not_drctly_attrb_cst_pres_fact","fin_not_directly_attrib_cst_presc_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_not_drctly_attrb_cst_remu_fact","fin_not_directly_attrib_cst_remu_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_remu_at_stp_actuals_fact","fin_remu_at_stp_actuals_fact"
"nb_finance_silver_tables_parition_load","silver_table_map","`dev-prescriptions-bronze`.prescriptions_bronze.edw_aml","`dev-prescriptions-silver`.prescriptions_silver.finance","edw_unmapped_pharm_pay_fact","fin_unmapped_pharm_pay_fact"
"nb_int_expense_tot_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_int_expense_tot"
"nb_not_drctly_attrb_cst_pres_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_not_directly_attrib_cst_presc_fact"
"nb_not_drctly_attrb_cst_remu_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_not_directly_attrib_cst_remu_fact"
"nb_remu_at_stp_actuals_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_remu_at_stp_actuals_fact"
"nb_remuneration_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_remuneration_fact"
"nb_unmapped_pharm_pay_fact_ora_to_fin","fin_table_name","abfss://fd69ffc7-af08-44c8-848d-4039c47162d7@onelake.dfs.fabric.microsoft.com/e3b2a567-df4e-4529-84b3-61d6c75111d6/Files/CSV Files/","spark.table","oracle_csv_file","finance.fin_unmapped_pharm_pay_fact"
